no_of_dependents,education,employment_type,income_annum,loan_amount,loan_term,cibil_score,bank_asset_value,loan_status
0,Not Graduate,1,1212823,585122,120,809,2940932,1
3,Graduate,1,1348000,93359,120,613,371694,0
2,Graduate,1,447475,197351,360,672,1182381,1
3,Not Graduate,1,664368,508849,120,649,1510837,0
4,Not Graduate,0,38373,443930,12,628,260156,0
0,Graduate,1,1588390,464927,36,822,3338013,1
0,Not Graduate,1,1286889,720724,120,625,1206587,0
1,Graduate,0,67851,101551,360,710,245389,1
1,Graduate,1,2395818,1097625,60,724,5830847,1
1,Not Graduate,1,273953,392885,360,623,484756,0
0,Not Graduate,1,1484272,297688,36,778,3528467,1
1,Graduate,1,2381982,83712,120,613,1046711,0
1,Graduate,1,220651,413504,240,806,348961,0
0,Graduate,0,178028,901693,12,652,472009,0
1,Graduate,1,545401,622545,240,745,711161,1
1,Graduate,1,1446083,641018,240,892,3673143,1
1,Graduate,1,107457,384983,12,795,415612,0
0,Graduate,0,185830,508617,36,600,559756,0
2,Graduate,0,87134,178534,240,491,55622,0
0,Graduate,1,1517956,537795,36,828,2410490,1
0,Not Graduate,0,198491,330677,12,728,431743,1
2,Graduate,1,1081327,175466,120,840,2378310,1
1,Graduate,0,22609,1149363,240,781,313472,0
0,Not Graduate,1,536109,111859,240,707,567148,1
1,Graduate,1,1437202,912812,12,815,1568956,1
1,Graduate,1,918948,972036,12,679,2049075,1
2,Graduate,1,196914,318940,120,857,684722,1
2,Graduate,1,766155,1514216,12,670,1842239,0
1,Graduate,1,378891,312281,60,675,434956,1
1,Not Graduate,1,353509,293268,60,759,808595,1
0,Graduate,0,5206,162696,360,683,190521,0
0,Graduate,1,1196560,535821,360,775,995836,1
1,Graduate,1,1776954,207179,12,690,1588614,1
1,Graduate,1,3977302,244838,120,748,1286704,1
1,Not Graduate,0,191469,506168,60,818,463183,0
0,Graduate,1,1347683,527810,240,720,1637634,1
0,Graduate,0,138975,1897283,120,691,451214,0
1,Graduate,0,79312,1370975,12,690,140789,0
0,Graduate,1,350087,937518,60,777,1062000,0
2,Not Graduate,1,306020,466703,120,807,924048,1
0,Graduate,1,478359,360765,360,556,398607,0
1,Not Graduate,0,171382,526184,240,765,301895,0
3,Graduate,1,2165343,309810,12,621,5344201,0
0,Not Graduate,1,1766075,268087,36,670,2945217,1
1,Not Graduate,1,200319,499422,60,712,536612,0
0,Graduate,1,388063,224496,240,708,600915,1
1,Graduate,1,2063083,238726,120,698,4393202,1
1,Graduate,1,406413,1404053,60,736,349980,0
1,Graduate,1,696949,135987,360,662,1842402,1
1,Graduate,1,186422,191036,60,756,788449,1
2,Graduate,0,145140,1930469,12,694,606875,0
0,Not Graduate,1,157913,365075,240,739,434591,1
0,Graduate,0,24731,2139378,60,671,157209,0
2,Not Graduate,1,1690700,168153,60,636,2486058,0
1,Not Graduate,1,3389013,581741,240,622,6435627,0
2,Not Graduate,1,578105,1169196,120,678,103510,1
1,Graduate,0,3661,218387,12,623,463952,0
2,Graduate,0,163207,2882973,60,790,403736,0
1,Graduate,1,919475,365729,360,749,1660469,1
2,Graduate,1,541135,899046,240,611,1460669,0
3,Graduate,1,494665,274291,36,562,525243,0
1,Not Graduate,1,208263,2401523,360,780,312206,0
0,Graduate,0,137255,731871,360,761,286025,0
0,Graduate,1,677704,4400725,120,598,284343,0
0,Not Graduate,0,25538,1756918,12,660,371188,0
0,Graduate,1,327272,1247975,36,766,877167,0
0,Graduate,1,354894,207914,120,500,1154508,0
1,Not Graduate,1,1196249,587630,60,622,1246783,0
1,Graduate,1,1476715,393691,12,658,3383747,1
1,Graduate,1,561466,554724,120,776,323142,1
1,Graduate,1,516079,626385,120,684,537454,1
0,Not Graduate,1,368457,219542,360,776,706405,1
0,Graduate,1,1543334,462054,120,647,3258680,0
0,Graduate,1,747729,490711,120,744,1558010,1
1,Graduate,1,979033,196766,36,724,1098379,1
0,Graduate,1,971674,1203106,12,639,1682144,0
0,Graduate,1,570254,675011,60,670,1393797,1
1,Graduate,1,287136,1218648,12,739,540274,0
2,Graduate,1,328763,879596,360,709,1014276,1
0,Graduate,1,1798221,97379,36,746,1674764,1
1,Graduate,1,408175,234848,12,780,899540,1
1,Graduate,0,146257,2822719,36,690,563312,0
2,Graduate,1,294339,1184805,36,476,449796,0
3,Graduate,1,275721,106762,36,610,335405,0
0,Graduate,1,394221,864590,36,579,1107031,0
0,Not Graduate,1,2815712,235174,120,584,7214453,0
2,Not Graduate,1,1234812,66403,12,696,662730,1
1,Graduate,1,478575,2834026,240,745,758810,1
1,Graduate,1,1734624,582640,36,602,1080045,0
1,Graduate,1,645745,671304,36,772,792632,1
1,Graduate,1,2155368,153772,12,777,3999149,1
3,Graduate,1,4279660,170563,120,876,10612756,1
4,Graduate,1,1660334,110013,60,788,3606849,1
2,Graduate,1,786730,2228804,36,797,651439,0
0,Graduate,0,20016,104471,120,724,359688,1
2,Graduate,1,738264,2721748,360,630,1507295,0
0,Not Graduate,1,167913,201437,120,686,270496,1
0,Graduate,0,152005,158279,240,799,472307,1
2,Graduate,1,340689,511256,36,694,832834,1
0,Not Graduate,1,424457,272608,120,726,740753,1
0,Not Graduate,0,47870,595582,240,783,403140,0
0,Not Graduate,0,162462,224772,120,720,288962,1
2,Graduate,1,1037897,394951,360,689,1077283,1
1,Graduate,1,1397051,253116,360,655,633799,1
1,Not Graduate,1,160541,1278535,240,882,506554,0
0,Graduate,1,1306088,902228,360,740,2928319,1
2,Not Graduate,1,1546800,692261,240,614,726276,0
2,Graduate,1,121564,1549662,360,649,120952,0
0,Graduate,0,58395,703047,240,707,471969,0
1,Not Graduate,1,233454,646158,120,763,649895,1
0,Graduate,1,150843,479282,60,697,297181,0
3,Graduate,1,2107587,264012,12,580,4484202,0
1,Graduate,1,325904,264595,240,548,298770,0
3,Graduate,1,411367,626009,360,558,788062,0
0,Graduate,1,1609901,1495403,36,753,3053951,1
2,Graduate,1,571379,955857,12,724,973572,0
2,Graduate,0,186683,950380,60,649,661953,0
1,Not Graduate,1,620530,178767,12,880,515563,1
3,Graduate,1,963260,911486,12,705,1294430,1
0,Not Graduate,1,608609,362504,60,570,1087178,0
0,Graduate,1,799147,644182,36,696,1865308,1
1,Graduate,1,487552,938478,240,745,619025,1
2,Graduate,1,966518,170040,120,666,1517883,1
1,Graduate,1,937595,632479,36,693,1472210,1
0,Not Graduate,1,3329419,684375,360,761,3759147,1
1,Not Graduate,0,186845,1466860,36,726,328511,0
0,Graduate,1,629491,322263,240,763,1572342,1
1,Graduate,1,882981,508278,36,770,558833,1
1,Not Graduate,1,1577810,640474,360,577,3390047,0
2,Not Graduate,1,304593,322292,36,758,348421,0
0,Not Graduate,1,792431,316460,360,761,1352682,1
1,Graduate,1,98099,304479,12,730,562164,1
0,Not Graduate,1,586996,475573,12,737,981882,1
0,Graduate,1,1720596,3100541,60,632,3963846,0
2,Graduate,1,408025,492832,360,839,310655,1
3,Graduate,1,840262,879879,60,758,1483493,1
0,Graduate,0,132897,557709,60,767,605576,0
2,Not Graduate,0,78889,397310,120,827,575038,1
2,Not Graduate,1,1586734,527446,240,782,599845,1
2,Not Graduate,1,316093,1166298,120,784,611013,0
0,Graduate,1,922066,512231,120,502,1210942,0
3,Graduate,1,933486,460038,60,467,2249502,0
0,Graduate,0,149439,427293,240,697,387252,0
0,Graduate,1,826163,200089,120,731,1183367,1
0,Not Graduate,1,345256,1528947,12,738,559438,0
1,Graduate,1,1107298,345609,120,733,1585038,1
0,Graduate,1,254751,2348786,12,734,638438,0
0,Graduate,1,555884,690178,120,721,213262,1
0,Not Graduate,1,595872,2204222,360,645,1663692,0
2,Graduate,1,1776870,442438,360,590,3624379,0
2,Graduate,1,815889,259580,240,698,2153000,1
0,Not Graduate,1,1565961,1533752,360,655,3078660,1
2,Graduate,1,1136828,308348,12,673,2863136,1
2,Not Graduate,1,1131033,1954288,360,567,1823023,0
2,Graduate,1,559306,963871,12,694,934079,0
0,Graduate,1,1650724,2337196,60,730,4543670,1
1,Not Graduate,0,191714,203521,12,586,117632,0
3,Graduate,1,182798,1406353,360,746,122301,0
1,Graduate,1,614257,257108,120,594,1377267,0
0,Graduate,1,1048405,50000,120,750,1052813,1
1,Graduate,1,201732,1323667,60,641,241119,0
1,Graduate,0,133913,536916,36,798,348438,0
1,Graduate,1,272536,1414680,12,644,439546,0
0,Not Graduate,1,1368702,592444,12,620,2214366,0
0,Not Graduate,0,188932,552094,12,705,714245,1
2,Graduate,1,616763,2416192,120,738,430246,0
2,Graduate,1,1115958,608220,240,789,528163,1
0,Graduate,1,1092976,335876,240,758,2458724,1
3,Graduate,1,2528249,494659,240,625,5991510,0
0,Graduate,1,432768,632628,60,730,1024019,1
1,Graduate,1,611760,50000,60,606,575194,0
2,Graduate,1,555367,883021,120,792,755276,1
2,Graduate,0,179130,2103061,240,822,533845,0
3,Graduate,1,5000000,514531,36,719,8285092,1
0,Not Graduate,1,747619,354776,360,683,647606,1
2,Not Graduate,1,368144,796328,12,842,114402,0
0,Graduate,1,289642,3089585,240,823,1006041,0
2,Not Graduate,1,1986959,863884,36,539,1588507,0
2,Graduate,1,366808,669558,12,748,1346582,0
1,Not Graduate,1,1240307,365645,12,688,498797,1
0,Graduate,1,423473,185443,60,578,423759,0
2,Not Graduate,1,264777,553162,36,841,551052,0
0,Graduate,1,1183704,563305,240,629,1225309,0
0,Graduate,1,440384,78268,240,782,1465646,1
2,Graduate,1,1025140,261245,120,652,924551,1
1,Graduate,1,1087537,1721766,36,600,1838549,0
2,Graduate,1,1129191,417454,12,714,1519631,1
0,Graduate,1,588587,50000,360,566,256633,0
0,Not Graduate,1,1262932,2679592,60,880,2459393,0
2,Graduate,0,79038,221569,120,761,465621,1
1,Graduate,1,102408,337639,60,655,685226,1
0,Graduate,1,1284029,1563213,12,694,1970411,1
2,Not Graduate,1,832736,257281,12,626,2350776,0
1,Not Graduate,1,447726,75360,360,731,1266424,1
1,Not Graduate,0,16548,671698,60,587,104036,0
1,Graduate,1,143019,1198812,120,573,416200,0
2,Graduate,0,18967,338029,12,726,134905,0
2,Graduate,1,2727862,477899,240,840,5699374,1
2,Graduate,1,652883,166076,240,629,1889894,0
0,Graduate,1,546304,199692,240,643,1180303,0
2,Graduate,1,715334,391727,360,669,742683,1
1,Graduate,1,4169739,1033655,120,656,4279316,1
1,Graduate,0,40480,595868,120,678,211245,0
0,Graduate,1,345635,1498611,36,740,717459,0
2,Not Graduate,1,746001,2823847,36,681,1583065,0
2,Graduate,1,951647,1311355,360,560,798591,0
0,Not Graduate,1,313303,110198,360,673,204843,1
1,Graduate,1,1338833,406858,240,736,568020,1
2,Graduate,1,379174,1298857,360,636,662832,0
0,Graduate,1,217780,479478,60,747,536245,0
3,Not Graduate,1,775223,107008,60,787,1024813,1
1,Graduate,1,683017,311147,240,730,622945,1
1,Not Graduate,1,728820,55689,36,634,114695,0
0,Graduate,1,395649,409423,120,828,412984,1
0,Graduate,0,164572,272414,60,797,537863,1
3,Graduate,1,1799028,376756,120,726,567242,1
0,Graduate,1,1038064,1761145,240,674,2294010,1
2,Not Graduate,1,339287,142714,120,794,987335,1
0,Graduate,1,153191,263493,60,734,416079,1
0,Graduate,1,350973,172514,360,791,1005776,1
0,Not Graduate,0,124130,1577475,36,683,158610,0
1,Not Graduate,1,439966,1674855,60,671,983152,0
3,Graduate,0,34936,774579,12,564,276575,0
0,Not Graduate,1,455281,735488,120,842,502811,1
0,Graduate,1,688199,162699,120,819,1046574,1
0,Not Graduate,1,1366416,659468,120,655,2609228,1
1,Graduate,1,729171,175973,240,721,830790,1
1,Graduate,1,766469,563089,240,766,770727,1
2,Graduate,1,609327,383329,60,763,837570,1
1,Graduate,1,489194,298293,36,734,1361378,1
1,Graduate,1,1491648,555877,12,669,3507646,1
0,Graduate,1,1321029,1063697,36,682,2285450,1
4,Graduate,1,3746092,3189762,360,710,7960299,1
0,Not Graduate,1,1188795,937512,36,677,2231291,1
0,Graduate,0,87353,5272366,12,870,610351,0
1,Graduate,0,48144,660614,240,698,591852,0
1,Graduate,1,1563372,3216766,120,696,4026144,1
1,Not Graduate,1,380031,835331,240,681,869975,1
1,Graduate,1,1394141,686793,120,612,3766622,1
2,Graduate,1,397149,456695,120,780,505388,1
0,Graduate,1,964462,728760,240,563,732872,0
2,Graduate,1,312449,831992,36,739,311285,0
1,Graduate,1,1361242,130946,120,598,1866135,0
1,Graduate,1,271865,1088220,240,748,280172,1
1,Graduate,1,907424,122517,36,799,775698,1
0,Graduate,1,622642,1089436,12,762,1055483,0
2,Graduate,1,791310,983579,120,645,1367019,0
1,Graduate,1,531446,2238345,36,625,1649327,0
0,Graduate,1,521566,228181,120,701,1041607,1
1,Not Graduate,1,825566,201369,360,612,1758382,0
4,Not Graduate,1,327187,1635171,36,644,706171,0
1,Graduate,1,325651,184454,12,671,578343,1
3,Graduate,1,547523,167170,120,758,309349,1
0,Graduate,1,530738,665715,240,894,768001,1
0,Graduate,1,326336,515714,360,724,913873,1
0,Graduate,1,1527849,631185,360,657,793539,1
1,Graduate,1,558171,925164,360,807,503912,1
0,Not Graduate,0,145197,930344,36,796,688828,0
0,Not Graduate,1,252199,499881,12,777,415702,0
3,Graduate,1,3825916,567021,120,799,6701041,1
2,Graduate,0,31921,505354,12,865,260583,0
2,Not Graduate,0,42918,559766,12,499,363888,0
0,Not Graduate,1,1945187,134935,120,700,3986830,1
0,Not Graduate,1,677760,1151285,120,613,1581641,0
0,Graduate,1,2631371,1542682,36,754,639211,1
2,Graduate,1,954541,1022160,360,741,1920325,1
3,Graduate,1,790016,946478,240,742,1111649,0
1,Graduate,1,98773,200666,360,669,537366,1
0,Graduate,1,361174,131234,360,736,1315458,1
1,Graduate,1,741489,1240335,12,751,1649616,1
0,Not Graduate,1,855065,556024,360,674,451540,1
0,Not Graduate,0,53451,640197,120,617,174291,0
1,Graduate,1,407168,669637,12,836,1228877,1
2,Not Graduate,1,1135697,698753,360,779,1259970,1
0,Graduate,1,241211,1031516,36,392,324371,0
0,Not Graduate,1,811779,491182,36,612,974280,0
4,Graduate,1,1963742,80411,36,673,2522677,1
0,Graduate,1,992890,1075617,240,769,1261452,1
0,Graduate,1,953971,962747,60,541,1702076,0
0,Graduate,1,144911,148057,60,601,483202,0
0,Graduate,1,377932,168375,360,689,94926,1
0,Graduate,1,3772926,1306668,60,723,9664328,1
2,Not Graduate,0,179593,1654606,240,651,774517,0
0,Graduate,1,2005855,50000,240,735,4072549,1
1,Graduate,1,447453,839736,12,663,619680,0
1,Graduate,1,584051,433372,12,580,243650,0
1,Graduate,1,1101815,581964,36,735,1977302,1
2,Graduate,1,790605,616169,240,765,1900555,1
2,Not Graduate,1,989752,252169,360,792,1482354,1
0,Graduate,1,378998,1037858,60,603,409785,0
2,Graduate,1,293896,271536,60,757,372128,1
1,Graduate,1,359080,1140540,12,740,327867,0
4,Graduate,0,9434,1424069,36,865,264175,0
1,Graduate,1,607176,225898,36,622,1844157,0
4,Not Graduate,1,1672483,231487,360,717,3289315,1
2,Graduate,1,782205,605406,120,706,410978,1
0,Graduate,1,1074834,2430619,240,570,2513966,0
1,Not Graduate,1,816907,298728,60,826,1861779,1
4,Graduate,0,30498,361061,360,633,275815,0
2,Graduate,1,739563,744949,60,639,1169652,0
0,Not Graduate,1,809867,1042133,12,693,1309000,1
2,Graduate,1,1339676,915263,12,640,3266976,0
0,Graduate,0,45930,558100,240,759,322895,0
0,Not Graduate,1,142581,398108,360,710,353990,1
1,Not Graduate,1,839877,753001,360,540,549561,0
0,Graduate,1,968089,50000,12,557,690100,0
2,Graduate,1,631903,3503432,360,750,997897,1
0,Not Graduate,1,745952,448737,12,646,1921758,0
2,Graduate,1,1473303,648422,60,704,3792171,1
0,Graduate,1,505324,4409976,240,737,774686,0
0,Graduate,1,583667,257477,60,614,1103159,0
0,Graduate,1,777026,5565613,60,599,686727,0
0,Not Graduate,1,274896,1132186,12,763,313942,0
0,Not Graduate,1,645953,844533,60,675,895260,1
0,Not Graduate,1,693152,1028794,240,811,795759,1
1,Not Graduate,1,2702353,232935,12,762,442624,1
0,Graduate,1,574644,103885,240,739,1384983,1
1,Graduate,1,855985,165965,36,873,752424,1
0,Not Graduate,1,1521023,1603046,240,661,2832080,1
2,Graduate,1,373253,212018,240,669,940671,1
3,Graduate,1,2192586,103352,120,764,1350367,1
1,Graduate,1,2990933,499160,360,706,2493467,1
0,Not Graduate,1,712747,960013,360,649,712927,0
0,Graduate,1,473761,561659,240,654,465440,1
3,Graduate,1,2680986,990917,60,597,6330495,0
0,Graduate,1,1378497,1715153,60,718,3410468,1
0,Graduate,1,778851,956731,360,768,1207273,1
0,Graduate,1,2284082,463215,12,704,4703400,1
0,Not Graduate,1,2098626,313540,360,776,2998701,1
0,Graduate,0,190024,1168001,36,705,672194,0
2,Graduate,0,832,711630,12,685,333765,0
0,Graduate,1,1157107,228486,240,736,2309490,1
1,Graduate,0,9109,1987090,360,689,160037,0
0,Not Graduate,1,239738,702333,240,704,697273,1
0,Not Graduate,0,177303,1038111,60,702,598784,0
3,Not Graduate,1,246074,365120,240,598,487686,0
0,Graduate,0,167935,1673980,360,733,261026,0
2,Graduate,1,282806,110706,360,613,472592,0
1,Graduate,1,850801,2886333,360,677,689397,1
0,Graduate,1,3158232,77742,240,887,2463756,1
3,Not Graduate,1,2285776,136404,60,802,3359841,1
0,Graduate,1,167722,695113,36,648,827111,1
2,Not Graduate,0,112412,317821,240,628,161301,0
0,Graduate,1,391909,389129,120,678,757815,1
2,Graduate,1,286295,317714,36,728,751367,1
0,Graduate,1,194259,246945,36,557,842925,0
1,Graduate,1,723118,741905,360,675,747253,1
2,Graduate,0,198868,514750,60,809,548799,0
3,Graduate,0,177843,1309078,12,683,608636,0
3,Graduate,1,499028,585470,360,627,1425649,0
2,Graduate,1,586822,356177,360,606,1399925,0
2,Graduate,1,969505,1172288,240,605,1297579,0
0,Graduate,1,668780,86488,240,818,1517141,1
0,Graduate,1,1395112,50000,12,729,1208405,1
0,Graduate,1,1029199,110434,240,704,1587415,1
0,Graduate,1,539801,383263,120,781,969415,1
0,Graduate,1,165163,799281,12,778,317432,0
1,Graduate,1,2419872,50000,60,703,2847943,1
0,Graduate,1,421314,534127,12,754,107004,0
1,Graduate,1,970966,379049,36,603,2558334,0
0,Graduate,1,157428,619682,60,701,796668,1
0,Graduate,0,21079,80211,36,699,114689,1
1,Not Graduate,1,790332,7387254,60,591,882411,0
2,Graduate,1,821495,558219,12,676,1284190,1
2,Graduate,1,5000000,159982,36,879,3948828,1
1,Not Graduate,0,126700,615039,60,747,288098,0
0,Graduate,1,1406382,2409283,240,701,1369141,1
1,Graduate,1,1108574,149245,36,617,2016721,0
0,Graduate,1,423830,121200,120,857,307314,1
0,Graduate,1,1389612,480201,60,795,3537003,1
1,Not Graduate,1,639564,522979,360,765,1397949,1
0,Graduate,1,1469150,1098443,360,674,3912125,1
0,Graduate,0,150857,2362646,360,518,535426,0
3,Graduate,1,822940,1178792,360,824,1606704,1
3,Graduate,1,582508,134903,240,827,1509137,1
0,Graduate,0,69837,185156,240,708,460819,1
0,Graduate,1,2229577,243214,360,598,5493652,0
0,Not Graduate,1,359832,1176054,360,740,938588,1
0,Not Graduate,1,507694,991234,12,692,270961,0
3,Graduate,0,195204,1907944,360,844,925048,0
0,Not Graduate,1,656300,944219,360,708,1301722,1
2,Graduate,1,339943,288522,12,699,404327,1
0,Graduate,1,1124170,443831,360,669,2649659,1
4,Not Graduate,0,105,125314,360,680,7345,0
0,Graduate,0,11631,1012713,36,616,334054,0
2,Graduate,1,766108,288930,36,797,602450,1
0,Graduate,1,459889,1838201,120,601,476576,0
1,Graduate,1,303704,984901,240,699,1055498,1
0,Not Graduate,1,490091,3752750,60,738,1263850,0
0,Graduate,1,773859,822246,120,573,2016001,0
3,Graduate,1,224118,806995,360,661,533433,0
3,Graduate,1,519587,450215,120,724,1510688,1
2,Not Graduate,1,782511,367847,120,704,633954,1
1,Graduate,1,1896893,417211,360,708,3892426,1
2,Graduate,1,568028,1467613,60,591,533416,0
0,Graduate,1,269218,140279,360,604,406680,0
0,Graduate,1,616782,575691,120,762,798752,1
0,Graduate,1,463584,102095,12,792,1497523,1
1,Graduate,1,1134545,784635,12,808,2156958,1
0,Graduate,1,556640,341625,12,705,713373,1
0,Graduate,0,99857,894143,120,761,132731,0
1,Graduate,1,5000000,257172,120,577,4968330,0
2,Graduate,0,134408,417910,240,600,345035,0
0,Graduate,1,783364,1016988,36,678,760588,0
0,Graduate,1,212537,612853,240,700,784992,1
0,Graduate,1,226012,2527631,360,671,830856,1
0,Graduate,1,677687,333852,12,682,560101,1
0,Not Graduate,1,954494,306205,36,604,1093832,0
1,Graduate,1,1279130,1861311,240,659,2492090,1
1,Graduate,0,46442,374300,60,594,247276,0
1,Not Graduate,1,282447,357461,60,807,433704,1
0,Graduate,1,98363,792621,60,619,411720,0
2,Graduate,1,673216,458697,12,767,1347603,1
0,Not Graduate,1,475832,395717,36,704,377630,1
1,Graduate,1,265652,270223,12,754,375488,1
2,Graduate,1,1414726,2110266,60,714,3544098,1
0,Graduate,1,206806,464797,120,668,953509,1
0,Graduate,1,1194902,307998,12,673,2319862,1
2,Not Graduate,1,236071,401561,36,791,630848,1
0,Graduate,1,812012,770597,12,645,2200721,0
1,Graduate,1,1539825,2329779,36,685,1747844,0
0,Not Graduate,0,194065,456288,360,852,191110,1
1,Not Graduate,1,2819121,228023,120,684,6318701,1
0,Graduate,1,3383120,3681641,240,711,3245971,1
0,Graduate,1,881817,618808,36,563,1897476,0
1,Graduate,1,1124791,486052,36,688,1434249,1
0,Not Graduate,1,1704133,580610,60,700,1145129,1
0,Graduate,1,1127531,155521,60,685,1644582,1
0,Graduate,1,1034878,516377,120,748,843015,1
0,Graduate,1,479617,1154996,360,698,482968,1
0,Graduate,1,189115,1830537,360,647,612808,0
0,Graduate,1,239887,377675,12,669,658534,1
3,Graduate,1,4905629,652100,240,747,4477151,1
0,Graduate,1,944080,1863512,240,598,887514,0
1,Graduate,1,599261,561029,120,687,779902,1
0,Graduate,1,2004012,1109560,240,718,3205904,1
0,Graduate,1,400485,825967,12,823,1187218,1
3,Graduate,0,147946,278096,60,841,437611,1
0,Not Graduate,1,775880,216179,360,751,1867809,1
3,Graduate,0,185444,1558635,120,702,651904,0
0,Graduate,1,557307,50000,240,812,999819,1
2,Graduate,1,337136,276890,360,792,929668,1
1,Graduate,1,377642,133880,120,742,378647,1
2,Graduate,1,389606,1560932,120,779,335003,0
1,Graduate,1,727685,2115457,36,677,2058578,0
1,Graduate,1,210048,261886,36,590,417809,0
0,Graduate,1,268889,8579645,120,780,682463,0
0,Graduate,1,812945,2141927,360,688,1637638,1
3,Graduate,1,658592,658128,36,714,1404934,1
0,Not Graduate,1,849314,2421722,240,721,1580622,1
0,Graduate,0,2354,284438,120,790,459998,1
2,Graduate,1,5000000,409793,36,653,10387367,1
0,Graduate,1,807251,858730,240,586,1119772,0
3,Graduate,0,175623,270478,60,731,400134,1
2,Not Graduate,1,790883,149595,60,811,784005,1
1,Not Graduate,1,1649469,211505,360,591,2836703,0
2,Graduate,0,165730,443883,120,724,666467,1
0,Graduate,1,1261462,863989,12,734,2362039,1
0,Graduate,1,1001327,385427,240,863,1703188,1
1,Not Graduate,1,578195,104836,360,755,801925,1
0,Graduate,1,797072,864857,360,616,1143346,0
2,Graduate,1,2621186,1930663,360,745,2006839,1
3,Graduate,1,885991,279303,120,721,1072423,1
1,Graduate,1,331433,2849888,36,739,948232,0
0,Graduate,1,564893,1288350,60,567,329180,0
3,Graduate,1,134403,188309,36,610,339149,0
1,Graduate,1,814165,282685,240,621,1904004,0
1,Graduate,1,2083687,395149,120,866,4546274,1
0,Not Graduate,1,249415,448975,360,714,573654,1
3,Not Graduate,1,822238,50000,60,631,541521,0
1,Not Graduate,0,104105,254445,240,731,709201,1
2,Graduate,1,1746127,310632,60,728,3668283,1
2,Not Graduate,1,2030598,3578878,360,747,3103651,1
0,Graduate,1,163635,678015,60,616,460928,0
1,Graduate,1,1092462,243283,120,730,2867862,1
2,Graduate,1,218720,348526,120,674,446956,1
0,Graduate,0,24291,826609,12,647,431453,0
2,Graduate,1,1406897,370291,12,817,3514062,1
3,Not Graduate,0,115382,300936,12,824,294361,0
1,Graduate,1,1304158,310764,12,732,920870,1
2,Graduate,0,86480,873034,360,664,275965,0
2,Graduate,1,2371142,135711,36,719,1785246,1
2,Graduate,0,118428,182243,12,413,657651,0
0,Graduate,1,1485762,213705,36,837,1747872,1
0,Graduate,0,78870,179137,60,844,538792,1
1,Not Graduate,1,1861924,237130,36,841,2684042,1
1,Graduate,1,566408,1324919,60,637,874871,0
1,Graduate,1,447315,1523248,12,708,1173568,0
2,Graduate,1,1203050,709068,36,818,761841,1
0,Not Graduate,1,1163065,669852,60,588,2379155,0
1,Not Graduate,0,118981,276514,12,728,595871,1
0,Graduate,1,3779267,67434,360,670,6849626,1
2,Graduate,1,3114192,623966,60,527,5206943,0
1,Graduate,1,1183549,727767,120,755,2719600,1
0,Not Graduate,1,1029231,275495,60,726,1494747,1
0,Not Graduate,1,949631,184227,12,717,1887528,1
2,Graduate,0,168490,151234,360,614,383551,0
1,Graduate,1,798304,638984,240,808,619314,1
0,Not Graduate,1,789877,586486,120,743,2066915,1
3,Graduate,1,460096,1784334,36,747,1201139,0
2,Graduate,1,569503,241483,120,790,524185,1
3,Graduate,1,108549,405171,12,759,729587,1
1,Graduate,1,303210,549739,60,655,282187,0
1,Not Graduate,1,1524933,311807,240,753,2375956,1
2,Graduate,1,2913767,1250452,12,717,2844871,1
1,Graduate,1,342934,1863833,360,715,859622,1
2,Graduate,1,844313,178873,60,761,1951719,1
0,Graduate,0,101968,341778,360,623,637045,0
1,Graduate,1,481098,2032048,360,494,1127212,0
0,Graduate,1,1252933,746509,12,681,2810755,1
0,Graduate,1,709963,607563,360,570,1279515,0
0,Graduate,1,1890442,760126,240,677,4432609,1
0,Graduate,1,261460,1041205,60,566,652990,0
3,Graduate,1,301443,797441,240,716,238206,1
0,Graduate,1,912215,669037,60,700,2201146,1
1,Not Graduate,1,787772,545563,120,703,1353770,1
2,Graduate,1,697278,2080719,12,758,1540185,0
1,Not Graduate,1,1156220,414039,36,805,2060885,1
0,Graduate,1,346445,541033,36,659,584152,0
2,Not Graduate,1,243884,2550993,12,728,697317,0
1,Not Graduate,1,488900,748425,360,729,895347,1
2,Graduate,1,534655,505556,360,585,1348378,0
2,Not Graduate,0,30676,1015352,36,786,318316,0
3,Not Graduate,1,2013201,678262,240,632,5085862,0
1,Graduate,1,1350970,258043,36,645,2632567,0
0,Graduate,0,28824,690451,12,682,98885,0
1,Graduate,1,871176,240682,360,620,1234180,0
0,Not Graduate,1,515374,3357718,120,637,261363,0
2,Graduate,1,368370,686098,360,750,932358,1
0,Graduate,1,279924,211460,12,608,898960,0
0,Graduate,0,199213,364896,12,788,949656,1
2,Graduate,1,704795,1154962,60,629,1335443,0
1,Graduate,0,26319,181474,36,776,124900,0
0,Graduate,1,835358,8206723,36,745,1918948,0
1,Graduate,1,624339,126089,60,620,613093,0
2,Graduate,1,530810,1363621,240,627,955773,0
0,Graduate,0,186893,332166,240,758,94022,0
2,Graduate,1,101875,240658,360,798,225739,0
0,Graduate,1,536604,925169,60,712,685997,1
2,Graduate,1,111084,343191,36,806,242015,0
2,Graduate,1,882796,2653931,240,811,2365572,1
0,Graduate,1,1342098,133080,240,635,732499,0
1,Graduate,1,247487,948159,120,821,308877,0
0,Graduate,0,136829,410354,240,766,470929,0
2,Graduate,1,187467,726707,36,638,753642,0
1,Not Graduate,1,767515,903557,120,659,799939,1
1,Graduate,1,555358,95643,120,806,940113,1
