no_of_dependents,education,employment_type,income_annum,loan_amount,loan_term,cibil_score,bank_asset_value,loan_status,total_assets,loan_to_income,loan_to_asset
5,Not Graduate,0,4100000,12300000,6,582,3500000,Approved,3500000,2.9999992682928616,3.5142847102043686
2,Graduate,0,8100000,20800000,18,778,10600000,Approved,10600000,2.5679009175430965,1.962263965824154
4,Graduate,0,9900000,28400000,10,763,5800000,Approved,5800000,2.868686578920548,4.89655087990502
0,Not Graduate,0,4800000,19000000,12,650,4800000,Approved,4800000,3.9583325086807273,3.9583325086807273
0,Graduate,1,2900000,9700000,2,820,3900000,Approved,3900000,3.3448264328184716,2.4871788494413205
1,Not Graduate,1,3500000,13500000,12,824,4100000,Approved,4100000,3.8571417551023557,3.2926821237360673
1,Not Graduate,1,4900000,12600000,4,718,3800000,Approved,3800000,2.5714280466473376,3.3157886011082627
2,Not Graduate,1,5100000,13300000,14,313,3900000,Rejected,3900000,2.607842625913211,3.4102555358319138
5,Graduate,0,7300000,26200000,10,751,10400000,Approved,10400000,3.589040604241013,2.5192305269970645
0,Graduate,1,200000,300000,18,520,100000,Rejected,100000,1.4999925000374998,2.999970000299997
2,Graduate,0,1400000,4700000,4,355,1400000,Approved,1400000,3.3571404591853864,3.3571404591853864
3,Graduate,1,8700000,33600000,14,314,6200000,Rejected,6200000,3.8620685216013193,5.419353964620329
1,Not Graduate,1,2800000,5900000,20,728,1400000,Approved,1400000,2.1071421045921057,4.214282704083783
3,Graduate,1,9100000,30100000,14,564,8200000,Approved,8200000,3.3076919442096764,3.6707312596669195
0,Not Graduate,1,6800000,15300000,14,699,8300000,Approved,8300000,2.2499996691176958,1.8433732718827383
0,Not Graduate,1,5000000,17000000,6,624,5900000,Approved,5900000,3.399999320000136,2.88135544383806
0,Graduate,1,4400000,16800000,14,795,3400000,Approved,3400000,3.8181809504134203,4.9411750173014655
5,Not Graduate,1,8400000,18600000,20,703,9500000,Approved,9500000,2.2142854506803036,1.957894530747944
4,Graduate,0,7800000,17300000,4,394,7200000,Rejected,7200000,2.2179484335963546,2.4027774440586884
4,Graduate,1,4800000,9900000,14,779,2900000,Approved,2900000,2.0624995703125895,3.413791926278646
1,Graduate,0,3200000,8800000,4,405,3400000,Rejected,3400000,2.7499991406252686,2.588234532872196
5,Graduate,1,2300000,6700000,16,612,2000000,Approved,2000000,2.9130422117207777,3.3499983250008376
5,Not Graduate,1,9200000,28100000,10,448,10700000,Rejected,10700000,3.0543474940926636,2.6261679788628056
2,Not Graduate,1,4700000,13700000,6,506,3500000,Rejected,3500000,2.914892996831277,3.9142845959186867
0,Not Graduate,1,8000000,30400000,2,776,7800000,Approved,7800000,3.7999995250000596,3.8974353977646925
1,Graduate,1,2600000,8600000,6,730,3100000,Approved,3100000,3.307691035503448,2.774192653486241
3,Not Graduate,0,200000,800000,20,730,300000,Approved,300000,3.9999800000999994,2.666657777807407
5,Graduate,0,7300000,17200000,2,345,4900000,Rejected,4900000,2.356164060799444,3.510203365264619
4,Not Graduate,0,3300000,11800000,2,847,3000000,Approved,3000000,3.5757564921950022,3.9333320222226593
4,Not Graduate,0,8300000,23300000,20,398,9900000,Rejected,9900000,2.80722857744234,2.353535115804534
5,Not Graduate,1,4100000,9600000,2,307,3100000,Rejected,3100000,2.341462843545648,3.096773194589292
1,Not Graduate,0,7300000,23700000,16,852,8500000,Approved,8500000,3.246574897729466,2.788234966090004
1,Not Graduate,0,9300000,27500000,6,364,10800000,Rejected,10800000,2.956988929356029,2.5462960605281424
2,Graduate,1,4300000,15200000,12,552,4800000,Approved,4800000,3.534882898864442,3.166666006944582
3,Not Graduate,0,2600000,8100000,2,421,2500000,Approved,2500000,3.115383417160224,3.2399987040005183
5,Graduate,0,2900000,9800000,12,588,2900000,Approved,2900000,3.379309179548559,3.379309179548559
2,Graduate,1,900000,3500000,6,763,600000,Approved,600000,3.8888845679060355,5.833323611127315
3,Not Graduate,1,4900000,17500000,20,823,4800000,Approved,4800000,3.5714278425657464,3.6458325737848805
0,Graduate,0,7700000,24800000,10,642,4500000,Approved,4500000,3.2207788024962594,5.511109886420026
1,Graduate,0,4700000,16800000,12,647,3400000,Approved,3400000,3.5744673245814202,4.9411750173014655
5,Not Graduate,0,3000000,8900000,20,886,2800000,Approved,2800000,2.9666656777781073,3.1785702933677524
4,Not Graduate,0,9700000,26200000,4,518,14000000,Rejected,14000000,2.7010306493782834,1.8714284377551116
0,Graduate,1,6900000,26800000,20,515,8300000,Rejected,8300000,3.8840574081076222,3.228915273624666
2,Not Graduate,1,3800000,12400000,8,340,2600000,Rejected,2600000,3.2631570360113065,4.769228934911948
3,Not Graduate,1,600000,1700000,14,521,600000,Rejected,600000,2.8333286111189815,2.8333286111189815
2,Not Graduate,1,1200000,2900000,12,330,600000,Rejected,600000,2.416664652779456,4.833325277791204
4,Not Graduate,1,7800000,26800000,2,474,5600000,Approved,5600000,3.435896995397821,4.785713431122602
0,Not Graduate,0,9000000,35100000,6,898,9100000,Approved,9100000,3.8999995666667147,3.857142433281051
1,Not Graduate,0,2800000,9100000,12,436,3600000,Rejected,3600000,3.2499988392861288,2.527777075617479
1,Not Graduate,0,7800000,21300000,10,326,4500000,Rejected,4500000,2.7307688806706563,4.733332281481715
4,Graduate,1,4700000,9500000,18,876,4100000,Approved,4100000,2.021276165685922,2.317072605592047
2,Graduate,0,4600000,17500000,20,597,4100000,Approved,4100000,3.8043469990550003,4.268291641880087
4,Graduate,0,5100000,16100000,14,436,6700000,Rejected,6700000,3.1568621261054655,2.4029847159724302
3,Not Graduate,1,6100000,22800000,18,640,6000000,Approved,6000000,3.7377043052943764,3.799999366666772
0,Not Graduate,0,6000000,22900000,16,302,7100000,Rejected,7100000,3.8166660305556617,3.2253516584011748
2,Not Graduate,0,8400000,23200000,16,476,8600000,Rejected,8600000,2.761904433106615,2.6976741049216155
2,Graduate,0,9300000,22000000,14,393,13900000,Rejected,13900000,2.3655911434848234,1.5827336990839065
0,Graduate,0,4200000,10300000,10,506,6000000,Rejected,6000000,2.4523803684808647,1.7166663805556033
3,Graduate,0,9600000,37800000,10,418,11300000,Rejected,11300000,3.937499589843793,3.3451324473334116
3,Graduate,0,5600000,13400000,6,865,6000000,Approved,6000000,2.392856715561301,2.233332961111173
4,Graduate,0,7800000,28600000,2,703,10500000,Approved,10500000,3.666666196581257,2.723809264399118
2,Graduate,1,4500000,12600000,2,568,2900000,Approved,2900000,2.799999377777916,4.344826087991004
3,Graduate,0,2400000,5900000,2,425,2500000,Rejected,2500000,2.4583323090282048,2.3599990560003774
0,Not Graduate,0,3900000,11300000,12,305,2100000,Rejected,2100000,2.8974351545038064,5.380949818595324
5,Graduate,1,9600000,20600000,6,456,11600000,Rejected,11600000,2.145833109809051,1.7758619158739728
4,Not Graduate,0,900000,2600000,2,602,1000000,Approved,1000000,2.888885679015912,2.5999974000026
3,Graduate,1,1100000,3800000,20,814,1100000,Approved,1100000,3.454542314052442,3.454542314052442
4,Not Graduate,0,6400000,24900000,2,640,6300000,Approved,6300000,3.8906243920899386,3.952380325018996
2,Graduate,0,4600000,15000000,4,817,6600000,Approved,6600000,3.2608688563328574,2.272726928374708
4,Graduate,0,7600000,29800000,20,361,5900000,Rejected,5900000,3.9210521156510376,5.050846601551424
5,Not Graduate,0,6800000,20100000,14,839,7500000,Approved,7500000,2.955881918252659,2.6799996426667145
5,Graduate,0,7100000,27000000,20,592,7600000,Approved,7600000,3.802816365800512,3.5526311114959066
4,Not Graduate,1,6700000,24700000,6,498,8400000,Rejected,8400000,3.6865666139452813,2.940475840419543
5,Not Graduate,1,5800000,12400000,6,847,7600000,Approved,7600000,2.137930665874023,1.6315787326870088
0,Graduate,1,8600000,29400000,16,643,12300000,Approved,12300000,3.4186042536506682,2.3902437081102677
0,Graduate,1,3500000,10600000,4,389,2500000,Approved,2500000,3.0285705632655535,4.239998304000679
2,Graduate,1,4800000,17500000,20,381,7000000,Rejected,7000000,3.6458325737848805,2.499999642857194
5,Graduate,1,6100000,14400000,16,400,5600000,Rejected,5600000,2.3606553507122374,2.57142811224498
5,Graduate,1,5200000,12700000,16,718,7200000,Approved,7200000,2.4423072226332265,1.763888643904355
5,Not Graduate,1,4100000,12400000,8,309,3300000,Rejected,3300000,3.024389506246462,3.7575746189167822
5,Not Graduate,0,3200000,7400000,2,838,3600000,Approved,3600000,2.3124992773439756,2.05555498456806
3,Not Graduate,1,7500000,21600000,14,678,11200000,Approved,11200000,2.879999616000051,1.9285712563775663
2,Not Graduate,1,1500000,4500000,14,826,1600000,Approved,1600000,2.9999980000013333,2.8124982421885987
4,Graduate,1,1200000,3100000,16,348,1700000,Rejected,1700000,2.5833311805573493,1.823528339100977
1,Graduate,1,8400000,19700000,6,476,12100000,Rejected,12100000,2.345237816043117,1.6280990390000794
0,Not Graduate,1,7900000,26300000,8,666,11800000,Approved,11800000,3.3291135026438603,2.228813370439545
1,Graduate,1,2100000,4300000,20,896,2300000,Approved,2300000,2.047618072562823,1.8695644045372155
2,Graduate,0,2500000,7000000,20,547,2300000,Rejected,2300000,2.799998880000448,3.0434769376187227
2,Not Graduate,1,3700000,13900000,2,405,5500000,Approved,5500000,3.756755741417367,2.5272722677686787
5,Graduate,0,1100000,4000000,16,498,700000,Rejected,700000,3.6363603305815175,5.71427755103207
5,Graduate,0,6500000,24800000,8,779,8800000,Approved,8800000,3.815384028402457,2.818181497933921
0,Not Graduate,1,8200000,31500000,8,403,6100000,Rejected,6100000,3.8414629461630554,5.16393357968302
2,Not Graduate,0,5000000,12400000,8,709,4200000,Approved,4200000,2.4799995040000993,2.952380249433274
1,Not Graduate,0,1500000,6000000,6,507,1900000,Rejected,1900000,3.999997333335111,3.1578930747931184
5,Not Graduate,0,3700000,9100000,18,368,3300000,Rejected,3300000,2.459458794740866,2.7575749219469934
3,Graduate,1,4100000,14600000,16,760,3000000,Approved,3000000,3.5609747412256727,4.866665044444985
2,Not Graduate,0,7200000,16800000,6,796,9800000,Approved,9800000,2.333333009259304,1.7142855393586185
1,Graduate,0,2000000,5000000,6,876,1500000,Approved,1500000,2.499998750000625,3.3333311111125927
3,Not Graduate,0,2000000,4700000,14,673,1500000,Approved,1500000,2.3499988250005877,3.133331244445837
1,Graduate,1,5100000,11500000,4,747,7000000,Approved,7000000,2.254901518646761,1.6428569081632989
1,Not Graduate,0,6000000,13600000,12,589,7100000,Approved,7100000,2.2666662888889517,1.9154926879587764
1,Graduate,0,4900000,18100000,8,382,2400000,Rejected,2400000,3.6938767971680004,7.541663524306865
3,Not Graduate,1,900000,2300000,12,900,1100000,Approved,1100000,2.5555527160525378,2.0909071900843728
1,Graduate,1,7500000,25000000,18,628,4700000,Approved,4700000,3.333332888888948,5.319147804436637
2,Graduate,0,6400000,25000000,12,667,5400000,Approved,5400000,3.906249389648533,4.629628772290968
2,Graduate,1,8700000,26400000,2,778,10300000,Approved,10300000,3.034482409829608,2.563106547271209
4,Graduate,1,7300000,17200000,18,831,5200000,Approved,5200000,2.356164060799444,3.3076916715977553
5,Graduate,0,7400000,27100000,4,320,9400000,Approved,9400000,3.6621616672754502,2.882978416704424
2,Graduate,0,2700000,9300000,16,656,3600000,Approved,3600000,3.4444431687247525,2.58333261574094
3,Graduate,0,3400000,8900000,6,896,4200000,Approved,4200000,2.617646288927562,2.119047114512592
3,Not Graduate,1,2100000,7400000,4,320,2200000,Approved,2200000,3.5238078458057878,3.363634834711439
2,Not Graduate,0,3100000,10500000,10,751,1600000,Approved,1600000,3.3870956815820383,6.562495898440064
5,Not Graduate,0,4700000,17400000,2,523,5200000,Approved,5200000,3.7021268718878995,3.3461532026628458
5,Graduate,0,3100000,10500000,6,584,2900000,Approved,2900000,3.3870956815820383,3.6206884066591702
2,Not Graduate,0,5700000,20400000,2,630,2900000,Approved,2900000,3.5789467405356596,7.034480332937816
3,Graduate,1,2300000,8000000,14,472,1800000,Rejected,1800000,3.4782593572785405,4.4444419753100135
0,Not Graduate,1,6600000,18500000,16,802,9700000,Approved,9700000,2.803029878328806,1.907216298225124
2,Graduate,1,2700000,6400000,18,547,1700000,Rejected,1700000,2.3703694924557435,3.764703667821372
1,Not Graduate,1,800000,2800000,16,726,1200000,Approved,1200000,3.499995625005469,2.3333313888905094
1,Graduate,0,6600000,18500000,8,712,7600000,Approved,7600000,2.803029878328806,2.434210206024973
3,Graduate,0,3900000,10700000,6,790,2700000,Approved,2700000,2.743589040105374,3.9629614951994463
5,Not Graduate,0,200000,600000,16,396,200000,Rejected,200000,2.9999850000749997,2.9999850000749997
3,Graduate,0,2000000,4200000,6,831,1200000,Approved,1200000,2.099998950000525,3.499997083335764
2,Graduate,1,9100000,20900000,20,632,13200000,Approved,13200000,2.2967030443183467,1.5833332133838476
3,Graduate,0,4700000,10800000,8,527,4800000,Rejected,4800000,2.297871851516627,2.2499995312500976
3,Not Graduate,1,3200000,11100000,6,708,1500000,Approved,1500000,3.4687489160159637,7.399995066669955
2,Not Graduate,0,1700000,4200000,14,829,1600000,Approved,1600000,2.4705867820077754,2.6249983593760255
1,Not Graduate,0,2600000,8100000,12,854,2500000,Approved,2500000,3.115383417160224,3.2399987040005183
3,Not Graduate,1,2700000,6700000,14,899,2000000,Approved,2000000,2.4814805624146064,3.3499983250008376
0,Not Graduate,1,3600000,13400000,6,589,4000000,Approved,4000000,3.722221188271892,3.3499991625002092
4,Graduate,1,7200000,26000000,6,571,4200000,Approved,4200000,3.611110609567971,6.190474716553639
2,Not Graduate,1,2500000,6400000,6,708,3500000,Approved,3500000,2.5599989760004096,1.8285709061225983
2,Not Graduate,0,5500000,19600000,16,328,3700000,Rejected,3700000,3.5636357157025973,5.297295865595712
3,Graduate,1,9200000,33500000,8,564,11400000,Approved,11400000,3.641303952032179,2.9385962334564706
3,Not Graduate,0,9000000,19000000,8,693,7200000,Approved,7200000,2.111110876543236,2.638888522376594
4,Not Graduate,1,5900000,15000000,14,626,8200000,Approved,8200000,2.5423724504453475,1.829268069601455
4,Graduate,0,5600000,15600000,12,470,7000000,Rejected,7000000,2.785713788265395,2.2285711102041272
2,Not Graduate,1,3200000,12500000,8,849,4400000,Approved,4400000,3.9062487792972567,2.840908445248081
5,Not Graduate,0,9100000,27800000,16,547,9400000,Rejected,9400000,3.054944719236844,2.957446493888671
0,Not Graduate,1,4600000,15100000,2,417,6600000,Approved,6600000,3.282607982041743,2.2878784412305393
4,Graduate,0,7300000,14900000,2,358,7300000,Rejected,7300000,2.0410956108088203,2.0410956108088203
5,Not Graduate,1,1300000,3100000,16,826,1400000,Approved,1400000,2.384613550297269,2.214284132654191
0,Not Graduate,0,1800000,4200000,6,836,2000000,Approved,2000000,2.3333320370377573,2.099998950000525
3,Graduate,0,500000,1700000,10,509,300000,Rejected,300000,3.3999932000136,5.6666477778407405
2,Not Graduate,1,5700000,20500000,20,581,8500000,Approved,8500000,3.596490597106913,2.411764422145362
4,Graduate,0,300000,1100000,4,359,200000,Approved,200000,3.666654444485185,5.499972500137499
5,Graduate,1,2100000,7100000,10,517,1400000,Rejected,1400000,3.3809507709758235,5.071424948982179
1,Not Graduate,1,5700000,20100000,14,442,6500000,Rejected,6500000,3.5263151708219,3.0923072165681207
1,Not Graduate,1,1100000,2700000,16,346,800000,Rejected,800000,2.4545432231425246,3.3749957812552736
5,Graduate,0,9300000,34000000,6,742,8200000,Approved,8200000,3.655913585385636,4.1463409577632975
1,Graduate,1,3500000,8100000,10,626,2900000,Approved,2900000,2.3142850530614134,2.7931024851370743
0,Not Graduate,1,8200000,28800000,4,619,6300000,Approved,6300000,3.5121946936347936,4.571427845805104
2,Not Graduate,1,7500000,17900000,20,734,4900000,Approved,4900000,2.386666348444487,3.6530604789672494
1,Graduate,1,7000000,25600000,6,420,8700000,Rejected,8700000,3.657142334693952,2.942528397410529
5,Not Graduate,1,3900000,8300000,18,600,5600000,Approved,5600000,2.1282045825116453,1.482142592474537
3,Graduate,1,4700000,13200000,12,440,4300000,Rejected,4300000,2.8085100407425445,3.069766727961226
5,Not Graduate,1,1700000,5200000,16,820,1000000,Approved,1000000,3.0588217301048646,5.1999948000052
0,Graduate,0,2500000,7800000,8,437,3300000,Rejected,3300000,3.119998752000499,2.3636356473831373
1,Not Graduate,1,400000,1400000,12,468,400000,Rejected,400000,3.499991250021875,3.499991250021875
0,Not Graduate,1,2400000,9100000,8,368,3300000,Rejected,3300000,3.791665086806214,2.7575749219469934
4,Graduate,0,5700000,21900000,2,871,6100000,Approved,6100000,3.842104589104458,3.590163345874861
1,Graduate,0,9800000,37900000,4,816,8500000,Approved,8500000,3.8673465441483117,4.458823004844352
5,Graduate,0,9000000,32800000,4,773,11500000,Approved,11500000,3.644444039506218,2.852173665028377
3,Not Graduate,0,800000,3000000,14,576,400000,Approved,400000,3.749995312505859,7.499981250046875
1,Graduate,0,1600000,4500000,14,673,1300000,Approved,1300000,2.8124982421885987,3.461535798818616
0,Graduate,1,9800000,34100000,20,760,13600000,Approved,13600000,3.4795914816743387,2.5073527568122973
5,Not Graduate,1,2900000,7500000,12,678,3700000,Approved,3700000,2.58620600475655,2.0270264791820325
4,Not Graduate,1,3900000,12000000,14,893,5200000,Approved,5200000,3.076922287968644,2.307691863905411
0,Graduate,1,3300000,9000000,18,754,4700000,Approved,4700000,2.727271900826697,1.9148932095971893
3,Graduate,1,700000,2200000,8,617,900000,Approved,900000,3.1428526530676386,2.4444417283980795
3,Not Graduate,1,8400000,29500000,20,661,10900000,Approved,10900000,3.5119043438209117,2.7064217700530486
1,Graduate,1,4000000,12100000,12,356,5000000,Rejected,5000000,3.024999243750189,2.4199995160000967
0,Not Graduate,1,1900000,6300000,16,811,1900000,Approved,1900000,3.3157877285327744,3.3157877285327744
0,Not Graduate,0,3900000,14600000,2,730,5400000,Approved,5400000,3.7435887836951838,2.7037032030179255
5,Not Graduate,0,7400000,18000000,2,792,5300000,Approved,5300000,2.4324321037253913,3.3962257742970237
5,Not Graduate,1,5900000,16000000,6,798,3100000,Approved,3100000,2.711863947141704,5.16128865764882
2,Not Graduate,0,1400000,2900000,12,490,1300000,Rejected,1300000,2.0714270918377915,2.2307675147942194
2,Graduate,1,1800000,5500000,6,448,1300000,Rejected,1300000,3.0555538580256343,4.230765976333864
0,Graduate,1,1000000,3100000,6,525,1400000,Rejected,1400000,3.0999969000031,2.214284132654191
1,Graduate,0,7400000,19200000,20,415,7000000,Rejected,7000000,2.594594243973751,2.7428567510204642
5,Graduate,0,2700000,10600000,16,496,2400000,Rejected,2400000,3.925924471879825,4.416664826389655
1,Not Graduate,1,3600000,13100000,8,543,2700000,Rejected,2700000,3.6388878780867007,4.85185005487035
5,Graduate,0,7000000,18400000,12,520,3800000,Rejected,3800000,2.628571053061278,4.842103988920003
4,Not Graduate,1,5000000,18000000,14,307,3300000,Rejected,3300000,3.599999280000144,5.454543801653394
2,Graduate,0,1800000,5700000,14,502,1300000,Rejected,1300000,3.166664907408385,4.384612011836914
2,Graduate,1,4700000,12000000,6,505,2300000,Rejected,2300000,2.553190946129586,5.217389035917811
2,Not Graduate,1,6700000,23100000,4,304,10000000,Approved,10000000,3.4477606794387046,2.309999769000023
5,Not Graduate,0,5800000,17500000,10,719,3100000,Approved,3100000,3.0172408590964035,5.645159469303397
0,Graduate,1,5900000,22700000,18,855,4000000,Approved,4000000,3.8474569750072924,5.674998581250355
4,Not Graduate,0,6000000,15800000,18,593,6400000,Approved,6400000,2.633332894444518,2.468749614257873
1,Not Graduate,1,700000,1400000,10,523,900000,Rejected,900000,1.9999971428612244,1.5555538271624143
0,Not Graduate,1,3700000,13100000,14,385,4900000,Rejected,4900000,3.5405395836379503,2.673468842149216
0,Graduate,1,7100000,19300000,6,783,5000000,Approved,5000000,2.71830947629444,3.8599992280001545
5,Graduate,1,1100000,3900000,2,538,1600000,Approved,1600000,3.5454513223169797,2.437498476563452
3,Not Graduate,1,9500000,20100000,2,506,11000000,Rejected,11000000,2.1157892509695526,1.82727256115704
4,Not Graduate,1,2200000,8600000,2,461,2100000,Approved,2100000,3.9090891322322125,4.095236145125646
4,Not Graduate,1,5500000,20000000,8,666,7900000,Approved,7900000,3.636362975206732,2.5316452491588293
3,Not Graduate,1,4400000,16300000,20,561,4000000,Approved,4000000,3.704544612603497,4.074998981250254
5,Not Graduate,0,5000000,10800000,10,345,6300000,Rejected,6300000,2.1599995680000865,1.714285442176914
4,Not Graduate,1,6100000,12500000,14,862,6800000,Approved,6800000,2.0491799919377063,1.838235023788967
3,Not Graduate,0,8100000,22300000,10,686,6200000,Approved,6200000,2.7530860798659162,3.596773613423611
4,Graduate,1,7000000,19600000,8,708,4500000,Approved,4500000,2.7999996000000573,4.355554587654536
4,Not Graduate,0,5600000,14800000,20,656,6500000,Approved,6500000,2.6428566709184516,2.276922726627273
4,Graduate,0,1800000,7000000,14,743,1500000,Approved,1500000,3.888886728396262,4.66666355555763
2,Graduate,0,3600000,12100000,14,408,5400000,Rejected,5400000,3.361110177469395,2.2407403257888285
5,Graduate,0,600000,1300000,14,408,900000,Rejected,900000,2.1666630555615742,1.444442839507956
1,Graduate,1,4900000,16500000,12,439,7200000,Rejected,7200000,3.3673462515619894,2.2916663483796738
3,Graduate,1,3000000,7100000,6,415,2500000,Rejected,2500000,2.3666658777780407,2.8399988640004543
0,Not Graduate,1,3800000,10600000,12,490,3100000,Rejected,3100000,2.7894729501386974,3.419353735692343
1,Graduate,1,7600000,30000000,16,884,10800000,Approved,10800000,3.947367901662118,2.7777775205761555
4,Graduate,0,7800000,25400000,18,425,7200000,Rejected,7200000,3.2564098389218157,3.52777728780871
0,Graduate,0,6800000,21700000,20,730,3600000,Approved,3600000,3.191176001297647,6.027776103395527
4,Graduate,1,5900000,17300000,20,657,4100000,Approved,4100000,2.9322028928469672,4.219511165972887
2,Not Graduate,0,4900000,16800000,10,480,2700000,Rejected,2700000,3.4285707288631166,6.222219917696327
3,Not Graduate,1,1100000,3100000,16,356,1600000,Rejected,1600000,2.818179256200676,1.937498789063257
1,Not Graduate,1,9800000,36000000,12,629,11200000,Approved,11200000,3.673469012911325,3.214285427295944
1,Graduate,1,1200000,4700000,2,667,800000,Approved,800000,3.9166634027804976,5.87499265625918
0,Not Graduate,0,4700000,11500000,18,559,2600000,Approved,2600000,2.446807990040853,4.423075221894146
4,Graduate,0,6700000,16000000,4,791,5200000,Approved,5200000,2.3880593450657694,3.0769224852072146
0,Not Graduate,1,3700000,11300000,6,538,5400000,Rejected,5400000,3.0540532286342623,2.0925922050755177
2,Graduate,0,7400000,16000000,20,358,4300000,Rejected,4300000,2.1621618699781258,3.7209293672257284
2,Not Graduate,0,3300000,11700000,14,439,1700000,Rejected,1700000,3.5454534710747057,6.882348892735945
2,Graduate,1,4800000,15300000,12,503,4300000,Rejected,4300000,3.1874993359376385,3.558138707409603
4,Graduate,1,4600000,11900000,6,810,5200000,Approved,5200000,2.5869559593574003,2.2884610983728657
1,Graduate,1,8000000,30600000,14,302,6800000,Rejected,6800000,3.8249995218750596,4.4999993382353916
0,Not Graduate,0,4100000,8800000,18,300,3500000,Rejected,3500000,2.146340939916844,2.5142849959185725
4,Not Graduate,0,2600000,7200000,16,612,1400000,Approved,1400000,2.7692297041424214,5.142853469390379
3,Not Graduate,0,1300000,5000000,6,686,900000,Approved,900000,3.8461508875762402,5.555549382722908
0,Graduate,1,2300000,4900000,12,409,3200000,Rejected,3200000,2.130433856333106,1.5312495214845245
5,Graduate,0,300000,900000,6,492,400000,Rejected,400000,2.9999900000333333,2.2499943750140625
0,Graduate,1,7000000,21700000,20,498,3900000,Rejected,3900000,3.09999955714292,5.564101137409965
3,Not Graduate,1,4400000,10900000,18,611,3000000,Approved,3000000,2.4772721642563265,3.633332122222626
5,Not Graduate,1,5100000,11800000,6,776,4400000,Approved,4400000,2.313725036524503,2.681817572314188
1,Not Graduate,0,5900000,13000000,6,779,6600000,Approved,6600000,2.2033894570526344,1.9696966712580801
3,Graduate,1,7800000,27200000,16,560,8600000,Approved,8600000,3.4871790401052514,3.162790329908101
4,Graduate,1,2200000,5100000,6,308,3100000,Rejected,3100000,2.318180764463289,1.6451607596255615
4,Not Graduate,0,5400000,12600000,18,786,6600000,Approved,6600000,2.3333329012346478,1.9090906198347546
1,Not Graduate,0,7400000,29100000,8,597,7000000,Approved,7000000,3.9324319010227162,4.157142263265391
4,Graduate,0,5800000,12000000,12,811,3100000,Approved,3100000,2.068965160523248,3.8709664932366152
1,Graduate,1,5800000,13000000,12,862,3900000,Approved,3900000,2.2413789239001853,3.333332478632698
3,Not Graduate,1,4800000,14200000,12,369,3000000,Rejected,3000000,2.9583327170140175,4.733331755556081
1,Not Graduate,1,7400000,23900000,4,687,5600000,Approved,5600000,3.229729293279825,4.267856380739932
0,Not Graduate,1,9600000,19600000,12,500,10900000,Rejected,10900000,2.0416664539930776,1.7981649726454154
2,Not Graduate,1,200000,500000,6,746,0,Approved,0,2.4999875000625,500000.0
4,Not Graduate,0,700000,2100000,14,619,1000000,Approved,1000000,2.9999957142918365,2.0999979000021
2,Not Graduate,0,7600000,16700000,20,692,7400000,Approved,7400000,2.197368131925246,2.2567564517896685
1,Not Graduate,1,1400000,3300000,18,321,700000,Rejected,700000,2.3571411734705903,4.714278979601458
2,Not Graduate,1,3800000,15000000,14,730,3600000,Approved,3600000,3.9473673822717417,4.16666550925958
3,Not Graduate,0,2700000,10800000,6,480,3500000,Rejected,3500000,3.9999985185190674,3.0857134040818845
2,Not Graduate,1,5000000,10700000,2,753,5700000,Approved,5700000,2.1399995720000855,1.877192653124096
4,Graduate,1,9000000,28900000,6,637,4800000,Approved,4800000,3.211110754321027,6.020832078993317
3,Graduate,0,3700000,9000000,6,483,3600000,Rejected,3600000,2.432431775018439,2.4999993055557486
4,Not Graduate,1,300000,1100000,4,315,100000,Approved,100000,3.666654444485185,10.999890001099988
4,Graduate,0,1800000,4100000,8,777,1900000,Approved,1900000,2.277776512346382,2.157893601108631
2,Graduate,0,7900000,17700000,4,402,8400000,Rejected,8400000,2.2405060455055636,2.107142606292547
4,Graduate,1,2100000,7700000,8,493,1300000,Rejected,1300000,3.666664920635752,5.92307236686741
0,Graduate,1,900000,3100000,4,355,500000,Approved,500000,3.444440617288203,6.1999876000248
3,Graduate,0,9900000,23600000,18,557,9100000,Approved,9100000,2.383838143046652,2.5934063084168892
0,Not Graduate,1,5600000,20000000,20,606,7600000,Approved,7600000,3.5714279336735832,2.6315786011080786
1,Not Graduate,1,6000000,12200000,16,743,2900000,Approved,2900000,2.033332994444501,4.206895101070655
5,Not Graduate,0,5700000,18400000,4,579,4900000,Approved,4900000,3.228069609110595,3.7551012744691277
0,Graduate,1,9000000,33100000,20,734,10300000,Approved,10300000,3.677777369135848,3.2135919210104933
0,Graduate,0,7300000,16100000,2,490,10700000,Rejected,10700000,2.205479149934363,1.5046727565726397
5,Graduate,0,5300000,20500000,16,802,4100000,Approved,4100000,3.8679237985049437,4.999998780488102
1,Not Graduate,1,3500000,7400000,16,867,2100000,Approved,2100000,2.1142851102042544,3.5238078458057878
0,Not Graduate,0,1000000,2200000,12,302,1400000,Rejected,1400000,2.1999978000022,1.5714274489803937
0,Not Graduate,0,5100000,19900000,12,867,5700000,Approved,5700000,3.9019600192235258,3.4912274576793934
0,Graduate,1,2900000,9900000,8,312,3700000,Rejected,3700000,3.413791926278646,2.675674952520283
3,Not Graduate,0,7600000,19100000,14,762,7300000,Approved,7300000,2.5131575640582153,2.6164379977482195
5,Not Graduate,1,6000000,14700000,18,462,3500000,Rejected,3500000,2.4499995916667348,4.199998800000343
1,Graduate,0,6300000,18200000,18,849,5200000,Approved,5200000,2.88888843033517,3.499999326923206
3,Not Graduate,0,1900000,7400000,18,592,1800000,Approved,1800000,3.8947347922448463,4.111108827161763
